Phage,Host,Time,N,OD600,sd,se,ci
øEnA02,CPO448,10.2377777777778,2,1.3045,0.05161879502661794,0.03649999999999998,0.463776472870376
øEnA02,CPO448,10.4877777777778,2,1.308,0.05374011537017766,0.03800000000000003,0.48283577997463867
øEnA02,CPO448,10.7377777777778,2,1.311,0.05656854249492385,0.040000000000000036,0.5082481894469881
øEnA02,CPO448,10.9877777777778,2,1.3135,0.05868986283848342,0.041499999999999974,0.5273074965512494
øEnA02,CPO448,11.2377777777778,2,1.3155000000000001,0.060104076400856674,0.04250000000000009,0.5400137012874257
øEnA02,CPO448,11.4877777777778,2,1.318,0.06222539674441624,0.04400000000000004,0.5590730083916869
øEnA02,CPO448,11.7377777777778,2,1.32,0.06222539674441624,0.04400000000000004,0.5590730083916869
øEnA02,CPO448,11.9877777777778,2,1.322,0.06505382386916243,0.04600000000000004,0.5844854178640364
øEnA02,CPO448,12.2377777777778,2,1.3235000000000001,0.06576093065034906,0.0465000000000001,0.5908385202321245
øEnA02,CPO448,12.4877777777778,2,1.3250000000000002,0.06646803743153552,0.047000000000000035,0.597191622600211
øEnA02,CPO448,12.7377777777778,2,1.3265,0.06717514421272215,0.04750000000000009,0.603544724968299
øEnA02,CPO448,12.9877777777778,2,1.3279999999999998,0.06929646455628172,0.04900000000000004,0.6226040320725604
øEnA02,CPO448,13.2377777777778,2,1.3295,0.07000357133746819,0.04949999999999999,0.6289571344406472
øEnA02,CPO448,13.4877777777778,2,1.3305,0.07141778489984128,0.05049999999999998,0.6416633391768217
øEnA02,CPO448,13.7377777777778,2,1.3315000000000001,0.07283199846221437,0.05149999999999998,0.6543695439129964
øEnA02,CPO448,13.9877777777778,2,1.3325,0.07424621202458748,0.052499999999999984,0.6670757486491712
øEnA02,CPO448,14.2377777777778,2,1.333,0.07495331880577395,0.052999999999999936,0.6734288510172579
øEnA02,CPO448,14.4877777777778,2,1.334,0.07636753236814704,0.05399999999999993,0.6861350557534325
øEnA02,CPO448,14.7377777777778,2,1.3344999999999998,0.07848885271170676,0.05549999999999999,0.7051943628576952
øEnA02,CPO448,14.9877777777778,2,1.335,0.07919595949289339,0.05600000000000004,0.7115474652257833
øEnA02,CPO448,15.2377777777778,2,1.3355000000000001,0.08131727983645295,0.05749999999999999,0.7306067723300447
øEnA02,CPO448,15.4877777777778,2,1.3359999999999999,0.08202438661763943,0.05799999999999994,0.7369598746981314
øEnA02,CPO448,15.7377777777778,2,1.3359999999999999,0.08343860018001269,0.05900000000000005,0.7496660794343075
øEnA02,CPO448,15.9877777777778,2,1.3365,0.08555992052357225,0.0605,0.7687253865385688
øEnA02,CPO448,16.2377777777778,2,1.3359999999999999,0.08626702730475887,0.06100000000000005,0.7750784889066569
øEnA02,CPO448,16.4877777777778,2,1.3355000000000001,0.08980256121069154,0.0635,0.806844000747093
øEnA02,CPO448,16.7377777777778,2,1.3359999999999999,0.09192388155425125,0.06500000000000004,0.8259033078513556
øEnA02,CPO448,16.9877777777778,2,1.335,0.09333809511662436,0.06600000000000006,0.8386095125875305
øEnA02,CPO448,17.2377777777778,2,1.3355000000000001,0.09545941546018392,0.0675,0.8576688196917918
øEnA02,CPO448,17.4877777777778,2,1.335,0.09758073580374349,0.06899999999999995,0.8767281267960532
øEnA02,CPO448,17.7377777777778,2,1.334,0.10040916292848984,0.07100000000000006,0.902140536268404
øEnA02,CPO448,17.9877777777778,2,1.3345,0.1025304832720494,0.07250000000000001,0.9211998433726654
øEnA02,CPO448,18.2377777777778,2,1.334,0.10606601717798222,0.07500000000000007,0.9529653552131028
øEnA02,CPO448,18.4877777777778,2,1.335,0.10889444430272825,0.07699999999999994,0.9783777646854506
øEnA02,CPO448,18.7377777777778,2,1.3359999999999999,0.11313708498984755,0.07999999999999996,1.016496378893975
øEnA02,CPO448,18.9877777777778,2,1.3365,0.11667261889578037,0.08250000000000002,1.0482618907344123
øEnA02,CPO448,19.2377777777778,2,1.3384999999999998,0.12091525958289966,0.08550000000000002,1.0863805049429365
