phage,combination,time,N,OD600,sd,se,ci
APO57,EnC07_R2,22.9877777777778,6,1.7043333333333333,0.036192080164956904,0.014775354855674742,0.0379812588070783
APO57,EnC07_R2,23.2377777777778,6,1.7051666666666667,0.036323087240303115,0.014828838270223504,0.03811874230102515
APO57,EnC07_R2,23.4877777777778,6,1.7073333333333334,0.036417944294903186,0.014867563500602421,0.03821828867481803
APO57,EnC07_R2,23.7377777777778,6,1.7085000000000001,0.03657184709581951,0.01493039405597411,0.038379799759179434
APO57,EnC07_R2,23.9877777777778,6,1.7095,0.03629187236834163,0.01481609485210818,0.03808598430189398
APO57,EnC07_R2,NA,6,1.7108333333333334,0.03678269520666843,0.015016472436775716,0.038601071281309025
APO57,EnC07_R3,0.237777777777778,6,0.09833333333333334,0.0012110601416389978,4.944132324730447e-4,0.0012709296746934427
APO57,EnC07_R3,0.487777777777778,6,0.10183333333333333,0.0014719601443879693,6.009252125773295e-4,0.0015447274360271739
APO57,EnC07_R3,0.737777777777778,6,0.10883333333333334,0.0022286019533929056,9.098229375970795e-4,0.002338774317032324
APO57,EnC07_R3,0.987777777777778,6,0.11833333333333333,0.0032659863237109,0.0013333333333333318,0.0034274424475150807
APO57,EnC07_R3,1.23777777777778,6,0.13233333333333333,0.004457203906785811,0.001819645875194159,0.004677548634064648
APO57,EnC07_R3,1.48777777777778,6,0.151,0.0067230945255886505,0.002744691846698523,0.007055455005542313
APO57,EnC07_R3,1.73777777777778,6,0.18383333333333332,0.0087502380919988,0.003572269742210285,0.009182811711318975
APO57,EnC07_R3,1.98777777777778,6,0.229,0.013356646285651199,0.005452828012447608,0.014016940641646684
APO57,EnC07_R3,2.23777777777778,6,0.296,0.01956527536223296,0.007987490219086344,0.020532497269506077
APO57,EnC07_R3,2.48777777777778,6,0.39,0.027806474066303336,0.01135194550139608,0.02918110490502213
APO57,EnC07_R3,2.73777777777778,6,0.4925,0.02559492137124083,0.010449082894366062,0.026860222687315517
APO57,EnC07_R3,2.98777777777778,6,0.5831666666666666,0.027751876813409692,0.011329656266238226,0.029123808601995125
APO57,EnC07_R3,3.23777777777778,6,0.6681666666666667,0.02760736616677994,0.011270660041797801,0.028972153979077445
APO57,EnC07_R3,3.48777777777778,6,0.7368333333333333,0.025833440859991296,0.010546458067890755,0.02711053353962003
APO57,EnC07_R3,3.73777777777778,6,0.7965,0.021407942451342657,0.008739755908109402,0.022466257785281184
APO57,EnC07_R3,3.98777777777778,6,0.8461666666666666,0.018497747610632685,0.007551673839472801,0.019412195600398724
APO57,EnC07_R3,4.23777777777778,6,0.8835,0.017626684316683062,0.007196063738832046,0.018498070735122794
APO57,EnC07_R3,4.48777777777778,6,0.9125000000000001,0.017592612085759195,0.007182153808805087,0.018462314121660522
APO57,EnC07_R3,4.73777777777778,6,0.9411666666666667,0.018258331431614042,0.00745393259367905,0.019160943729368843
APO57,EnC07_R3,4.98777777777778,6,0.971,0.019339079605813735,0.007895146188218016,0.020295119381126513
APO57,EnC07_R3,5.23777777777778,6,0.9994999999999999,0.01970532922840924,0.008044666970525666,0.020679474788176687
APO57,EnC07_R3,5.48777777777778,6,1.0313333333333334,0.02093481948015478,0.008546604263942768,0.021969745677263147
APO57,EnC07_R3,5.73777777777778,6,1.0636666666666668,0.020480885397527793,0.008361286450727017,0.021493371072790896
APO57,EnC07_R3,5.98777777777778,6,1.0971666666666666,0.020488207990614193,0.008364275886836303,0.02150105566295222
APO57,EnC07_R3,6.23777777777778,6,1.1293333333333333,0.020529653349890375,0.008381195883908465,0.021544549900084937
APO57,EnC07_R3,6.48777777777778,6,1.1583333333333332,0.01976528944049817,0.008069145624606823,0.020742399171718537
APO57,EnC07_R3,6.73777777777778,6,1.1856666666666666,0.018853823661704974,0.007697041278598186,0.019785874498907403
APO57,EnC07_R3,6.98777777777778,6,1.2096666666666667,0.01874744427026436,0.00765361207390197,0.01967423617417918
APO57,EnC07_R3,7.23777777777778,6,1.2315,0.019002631396730266,0.007757791782030061,0.019942038639535146
APO57,EnC07_R3,7.48777777777778,6,1.254,0.01766352173265566,0.007211102550927965,0.01853672923232611
APO57,EnC07_R3,7.73777777777778,6,1.2745,0.01754707952908405,0.007163565220382011,0.018414530633910044
APO57,EnC07_R3,7.98777777777778,6,1.2931666666666666,0.017267503197239183,0.007049428660852186,0.018121133267200655
APO57,EnC07_R3,8.23777777777778,6,1.3115,0.015527395145355206,0.006339032523448149,0.016295001860283636
APO57,EnC07_R3,8.48777777777778,6,1.3285,0.015411035007422483,0.0062915286960589754,0.016172889384473824
APO57,EnC07_R3,8.73777777777778,6,1.3445,0.014909728367747017,0.006086871117413283,0.015646800330281898
APO57,EnC07_R3,8.98777777777778,6,1.3591666666666666,0.014716204220744744,0.006007865215236128,0.015443709193237242
APO57,EnC07_R3,9.23777777777778,6,1.3725,0.013780420893426978,0.005625833271614064,0.014461664818329528
APO57,EnC07_R3,9.48777777777778,6,1.3856666666666666,0.013574485871172695,0.005541760650832115,0.014245549266473112
APO57,EnC07_R3,9.73777777777778,6,1.398,0.013251415018781978,0.005409867527644902,0.013906507199762719
APO57,EnC07_R3,9.98777777777778,6,1.4091666666666667,0.01282835401236907,0.005237153595014911,0.013462531901782749
APO57,EnC07_R3,10.2377777777778,6,1.4196666666666666,0.012404300329589984,0.005064034403955444,0.013017514853845231
APO57,EnC07_R3,10.4877777777778,6,1.43,0.012328828005937997,0.005033222956847184,0.01293831150757907
APO57,EnC07_R3,10.7377777777778,6,1.4388333333333334,0.011754431788337013,0.004798726682962674,0.01233551964540715
APO57,EnC07_R3,10.9877777777778,6,1.4478333333333333,0.011356349178616611,0.004636210138080927,0.011917757567143757
APO57,EnC07_R3,11.2377777777778,6,1.4558333333333333,0.011513759884011251,0.004700472789459,0.012082949971486059
APO57,EnC07_R3,11.4877777777778,6,1.4633333333333334,0.010726913193769502,0.004379243973310657,0.011257205011612172
APO57,EnC07_R3,11.7377777777778,6,1.4708333333333332,0.010590876576878176,0.004323707257024285,0.011114443337515538
APO57,EnC07_R3,11.9877777777778,6,1.4765000000000001,0.010559356040971446,0.004310839052125858,0.011081364563746395
APO57,EnC07_R3,12.2377777777778,6,1.4821666666666666,0.010361788777362104,0.004230182554505721,0.010874030436038027
APO57,EnC07_R3,12.4877777777778,6,1.487,0.009654014708917745,0.003941235001028658,0.010131267103618335
APO57,EnC07_R3,12.7377777777778,6,1.4916666666666667,0.010092901796146928,0.004120409904096636,0.010591850854846778
APO57,EnC07_R3,12.9877777777778,6,1.4958333333333333,0.009621157241551851,0.00392782099614756,0.010096785306327849
APO57,EnC07_R3,13.2377777777778,6,1.4993333333333334,0.009811557810392077,0.004005551702879928,0.010296598449125248
APO57,EnC07_R3,13.4877777777778,6,1.5026666666666666,0.009709102258533803,0.003963724398985256,0.010189077941499964
APO57,EnC07_R3,13.7377777777778,6,1.5058333333333334,0.009432214303474353,0.0038506853646822015,0.009898501853202662
APO57,EnC07_R3,13.9877777777778,6,1.5083333333333333,0.009626352718795717,0.003929942040850512,0.01010223762531383
APO57,EnC07_R3,14.2377777777778,6,1.5113333333333334,0.00920144916122816,0.003756475889861543,0.00965632868848384
APO57,EnC07_R3,14.4877777777778,6,1.5133333333333332,0.009770704512299264,0.0039888734137737275,0.010253725542099357
APO57,EnC07_R3,14.7377777777778,6,1.5155,0.00964883412646311,0.003939120037097946,0.010125830415755023
APO57,EnC07_R3,14.9877777777778,6,1.5175,0.009648834126463186,0.0039391200370979765,0.010125830415755101
APO57,EnC07_R3,15.2377777777778,6,1.5191666666666666,0.009558591249063171,0.003902278536672881,0.010031126323964763
APO57,EnC07_R3,15.4877777777778,6,1.5201666666666667,0.009516652072376404,0.0038851569394870466,0.009987113857241775
APO57,EnC07_R3,15.7377777777778,6,1.5213333333333332,0.009872520785831083,0.004030439733384494,0.010360575168265048
APO57,EnC07_R3,15.9877777777778,6,1.5221666666666667,0.00932559202767664,0.0038071570028624185,0.009786608636973722
APO57,EnC07_R3,16.2377777777778,6,1.5223333333333333,0.009872520785831089,0.004030439733384496,0.010360575168265052
